sku,title,description,details,designer,mrsp,currencyId,prices,variants,optionTypes,defaultImages
0,Felicia Sheath,A ruffled shoulder gives way to the flattering peplum design on this Black Halo sheath that’s sunny Halo pick for the office or after hours.,"Yellow crepe (90% Polaymide, 1% Elastane). Sheath. Sleeveless. Crew neckline. Hidden back zipper closure. Partially lined. 42"" from shoulder to hemline; 8"" Slit. Made in the USA.",Black Halo,390,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-16'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/59/BH100.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/59/BH100.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/59/BH100.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/59/BH100.jpg'], 'inStock': True}]",[{'size': 'Sized: 0-16'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/59/BH100.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/59/BH100.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/59/BH100.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/59/BH100.jpg']"
0,Kaitlyn Mini Dress,Bold photo realistic blooms enliven this sweetly feminine fit-and-flare dress by Black Halo.,"Black floral printed crepe (97% Polyamide, 3% Elastane). Hourglass. Short sleeves. Crew neckline. Hidden back zipper closure. Fully lined. 36"" from shoulder to hemline. Made in the USA.",Black Halo,390,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-16'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/d8/BH75.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/d8/BH75.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/d8/BH75.jpg', 'https://pc-ap.rtrcdn.com/productimages/front_plus/183x/d8/BH75.jpg'], 'inStock': True}]",[{'size': 'Sized: 0-16'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/d8/BH75.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/d8/BH75.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/d8/BH75.jpg', 'https://pc-ap.rtrcdn.com/productimages/front_plus/183x/d8/BH75.jpg']"
0,Compact Column Slit Dress,This sophisticated Nicholas column dress gets a little sassy with a leg-baring side slit.,"Black knit (65% Rayon, 20% Elastane, 15% Nylon). Sheath. Sleeveless. High neckline. 47"" from shoulder to hemline. Imported.",Nicholas,295,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: XS-XXL, one length available. Regular measures 47"" from shoulder to hemline.'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/e8/NLS108.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/e8/NLS108.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/e8/NLS108.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/e8/NLS108.jpg'], 'inStock': True}]","[{'size': 'Sized: XS-XXL, one length available. Regular measures 47"" from shoulder to hemline.'}]","['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/e8/NLS108.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/e8/NLS108.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/e8/NLS108.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/e8/NLS108.jpg']"
0,Tulip Ruffled Midi Dress,"Polished studs and ruffled shoulders add playful detail to this sleek midi dress from Prabal Gurung Collective.

Also available in Black.","Black printed chiffon (100% Polyester). Hourglass. Sleeveless. V-neckline. Hidden back zipper closure. 47"" from shoulder to hemline. Imported.",Prabal Gurung Collective,315,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'This dress runs true to size. We recommend going one size up for backup (see following fit notes for exceptions).'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/74/PGC6.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/74/PGC6.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/74/PGC6.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/74/PGC6.jpg'], 'inStock': True}]",[{'size': 'This dress runs true to size. We recommend going one size up for backup (see following fit notes for exceptions).'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/74/PGC6.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/74/PGC6.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/74/PGC6.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/74/PGC6.jpg']"
0,Superbloom Dress,"Pleats, please. This ladylike La Maison Talulah mini is topped with a surplice neckline and trendy ties.","Blue floral printed crepe (100% Polyester). Hourglass. Sleeveless. V-neckline. Hidden back zipper closure. Fully lined. 34"" from shoulder to hemline. Imported.",La Maison Talulah,299,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: XS-4X'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/28/LMT1.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/28/LMT1.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/28/LMT1.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/28/LMT1.jpg'], 'inStock': True}]",[{'size': 'Sized: XS-4X'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/28/LMT1.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/28/LMT1.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/28/LMT1.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/28/LMT1.jpg']"
0,Coralie Dress,A flattering wrapped silhouette and asymmetrical hem highlight the clean minimalist styling of this Cinq à Sept sheath.,"Black jersey (85% Polyester,15% Spandex). Sheath. Long sleeves. V-neckline. 33"" from shoulder to shortest hemline, 38"" from shoulder to longest hemline. Imported.",Cinq à Sept,345,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: XS-XL'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/0b/CAS108.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/0b/CAS108.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/0b/CAS108.jpg'], 'inStock': True}]",[{'size': 'Sized: XS-XL'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/0b/CAS108.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/0b/CAS108.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/0b/CAS108.jpg']"
0,Lisse Garden Daria Sheath,"A sweetheart neckline, bright blooms and contrast trim define the sensual silhouette of this feminine Black Halo sheath dress.

Also available in Rose Print.","Blue floral printed crepe (98% Polyamide, 2% Elastane). Sheath. Sleeveless. Sweetheart neckline. Hidden back zipper. Fully lined. 40.5"" from shoulder to hemline. Made in the USA.",Black Halo,375,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-18'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/07/BH77.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/07/BH77.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/07/BH77.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/07/BH77.jpg'], 'inStock': True}]",[{'size': 'Sized: 0-18'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/07/BH77.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/07/BH77.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/07/BH77.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/07/BH77.jpg']"
0,Lanni Dress,"Eye-catching and ethereal in wispy chiffon, this Jay Godfrey midi dress is ultra-ladylike with a tie neck and bell sleeves. Wear it with Ginestra Metropolis S Tote from Furla.","Black & yellow floral printed georgette (100% Polyester). Hourglass. Long sleeves. V-neckline. Front button closure. 46"" from shoulder to hemline. Imported.",Jay Godfrey,324,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-14, one length available. Regular measures 46"" from shoulder to hemline.'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/d9/JG136.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/d9/JG136.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/d9/JG136.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/d9/JG136.jpg'], 'inStock': True}]","[{'size': 'Sized: 0-14, one length available. Regular measures 46"" from shoulder to hemline.'}]","['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/d9/JG136.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/d9/JG136.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/d9/JG136.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/d9/JG136.jpg']"
0,Nikita Dress,"Hello, beauty. This feminine refresh by Reformation features ruffled trim, strap ties and a trumpet skirt.","White and red crepe (100% Viscose). Hourglass. Sleeveless. Sweetheart neckline. 43"" from bust to hemline. Imported.",Reformation,248,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-12, one length available. Regular measures 43"" from bust to hemline.'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/c3/REF14.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/c3/REF14.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/c3/REF14.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/c3/REF14.jpg'], 'inStock': True}]","[{'size': 'Sized: 0-12, one length available. Regular measures 43"" from bust to hemline.'}]","['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/c3/REF14.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/c3/REF14.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/c3/REF14.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/c3/REF14.jpg']"
0,Grand Rapids Dress,Soft pleats and pretty lace refine this J.Crew party dress we love worn with a chic blazer and clutch.,"Green crepe (100% Polyester). Hourglass. Sleeveless. V-neckline. Hidden back zipper closure. 49"" from shoulder to shortest hemline, 52"" from shoulder to longest hemline. Imported.",J.Crew,198,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-14, one length available. Regular measures 49"" from shoulder to shortest hemline, 52"" from shoulder to longest hemline.'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/e4/JCR54.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/e4/JCR54.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/e4/JCR54.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/e4/JCR54.jpg'], 'inStock': True}]","[{'size': 'Sized: 0-14, one length available. Regular measures 49"" from shoulder to shortest hemline, 52"" from shoulder to longest hemline.'}]","['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/e4/JCR54.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/e4/JCR54.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/e4/JCR54.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/e4/JCR54.jpg']"
